"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEP_TIME","DEP_DELAY","DEP_DEL15","TAXI_OUT","TAXI_IN","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15",
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","1839",12953,1295304,"LGA","New York, NY","NY",10721,1072102,"BOS","Boston, MA","MA","1059",0.00,0.00,57.00,7.00,"1235",16.00,16.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","1866",12953,1295304,"LGA","New York, NY","NY",10721,1072102,"BOS","Boston, MA","MA","1458",-1.00,0.00,28.00,5.00,"1610",-5.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","1877",12953,1295304,"LGA","New York, NY","NY",10721,1072102,"BOS","Boston, MA","MA","0658",-1.00,0.00,29.00,10.00,"0812",-3.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","1894",12953,1295304,"LGA","New York, NY","NY",10721,1072102,"BOS","Boston, MA","MA","0902",2.00,0.00,36.00,7.00,"1019",-18.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","1905",10721,1072102,"BOS","Boston, MA","MA",13204,1320402,"MCO","Orlando, FL","FL","0924",4.00,0.00,19.00,4.00,"1230",-15.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","1919",10721,1072102,"BOS","Boston, MA","MA",13204,1320402,"MCO","Orlando, FL","FL","1125",-5.00,0.00,14.00,5.00,"1419",-36.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","1936",12953,1295304,"LGA","New York, NY","NY",10721,1072102,"BOS","Boston, MA","MA","1857",-3.00,0.00,33.00,11.00,"2017",-3.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","1965",12953,1295304,"LGA","New York, NY","NY",10721,1072102,"BOS","Boston, MA","MA","2156",-3.00,0.00,19.00,6.00,"2254",-25.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","1982",10721,1072102,"BOS","Boston, MA","MA",12953,1295304,"LGA","New York, NY","NY","1754",-6.00,0.00,26.00,12.00,"1919",-14.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","1998",10721,1072102,"BOS","Boston, MA","MA",12953,1295304,"LGA","New York, NY","NY","1315",15.00,1.00,11.00,4.00,"1419",3.00,3.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2028",10721,1072102,"BOS","Boston, MA","MA",12953,1295304,"LGA","New York, NY","NY","1654",-6.00,0.00,24.00,11.00,"1813",-4.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2029",10397,1039707,"ATL","Atlanta, GA","GA",10721,1072102,"BOS","Boston, MA","MA","1019",18.00,1.00,19.00,16.00,"1242",7.00,7.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2037",10721,1072102,"BOS","Boston, MA","MA",13487,1348702,"MSP","Minneapolis, MN","MN","0800",0.00,0.00,13.00,5.00,"1021",-9.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2058",10397,1039707,"ATL","Atlanta, GA","GA",10721,1072102,"BOS","Boston, MA","MA","1136",23.00,1.00,26.00,9.00,"1400",15.00,15.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2064",10721,1072102,"BOS","Boston, MA","MA",13487,1348702,"MSP","Minneapolis, MN","MN","1132",-3.00,0.00,13.00,8.00,"1345",-5.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2081",10397,1039707,"ATL","Atlanta, GA","GA",10721,1072102,"BOS","Boston, MA","MA","0730",0.00,0.00,18.00,9.00,"0948",-14.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2105",13204,1320402,"MCO","Orlando, FL","FL",10721,1072102,"BOS","Boston, MA","MA","1609",-5.00,0.00,11.00,9.00,"1849",-15.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2115",10397,1039707,"ATL","Atlanta, GA","GA",10721,1072102,"BOS","Boston, MA","MA","0904",6.00,0.00,16.00,14.00,"1124",-5.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2121",10721,1072102,"BOS","Boston, MA","MA",13487,1348702,"MSP","Minneapolis, MN","MN","0620",45.00,1.00,28.00,4.00,"0856",59.00,59.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2149",10397,1039707,"ATL","Atlanta, GA","GA",10721,1072102,"BOS","Boston, MA","MA","1530",5.00,0.00,14.00,5.00,"1743",-19.00,0.00,0.00,
